descricao;endereco;area;quartos;suites;wc;vagas;valor;condominio;wlink
Apartamento para venda possui 60 metros quadrados com 2 quartos em Uberaba - Curitiba - Paraná;Rua Pedro Locatelli Júnior, 94;['90'];[2];[1];[2];[1];-;-;https://www.vivareal.com.br//imovel/apartamento-2-quartos-uberaba-bairros-curitiba-com-garagem-60m2-venda-RS219000-id-2544533265/
Apartamento para venda tem 58 metros quadrados com 3 quartos em Santa Cândida - Curitiba - Paraná;Estrada Guilherme Weigert, 2245;['182'];[3];[];[1];[1];-;-;https://www.vivareal.com.br//imovel/apartamento-3-quartos-santa-candida-bairros-curitiba-com-garagem-58m2-venda-RS250000-id-2537860287/
Apartamento com 3 quartos sendo 1 suíte;Avenida Senador Souza Naves, 290;['160'];[3];[1];[2];[2];-;-;https://www.vivareal.com.br//imovel/apartamento-3-quartos-alto-da-rua-xv-bairros-curitiba-com-garagem-107m2-venda-RS550000-id-2540008874/
AP com 52,65m área privativa e 60,25 de área total 3 quartos na CIC - Fazendinha - Curitiba - PR;Rua João Dembinski, 2380;['6025'];[3];[];[1];[1];-;-;https://www.vivareal.com.br//imovel/apartamento-3-quartos-cidade-industrial-bairros-curitiba-com-garagem-53m2-venda-RS179000-id-2537687990/
Apartamento cobertura duplex face norte à venda no Cabral;Avenida Anita Garibaldi, 1576;[];[3];[1];[3];[2];-;-;https://www.vivareal.com.br//imovel/apartamento-3-quartos-cabral-bairros-curitiba-com-garagem-137m2-venda-RS690000-id-2547149340/
Apartamento para venda tem 69 metros quadrados com 3 quartos em Cajuru - Curitiba - Paraná;Rua Salvador, 718;['77'];[3];[1];[2];[1];-;-;https://www.vivareal.com.br//imovel/apartamento-3-quartos-cajuru-bairros-curitiba-com-garagem-69m2-venda-RS265000-id-2537910724/
Apartamento para venda com 63 metros quadrados com 3 quartos em Bigorrilho - Curitiba - Paraná;Rua Padre Agostinho, 2026;['103'];[3];[];[2];[1];-;-;https://www.vivareal.com.br//imovel/apartamento-3-quartos-bigorrilho-bairros-curitiba-com-garagem-63m2-venda-RS380000-id-2538270880/
Apartamento para venda tem 163 metros quadrados com 2 quartos em Batel - Curitiba - Paraná;Alameda Dom Pedro II, 332;['183'];[2];[1];[2];[1];-;-;https://www.vivareal.com.br//imovel/apartamento-2-quartos-batel-bairros-curitiba-com-garagem-163m2-venda-RS1045000-id-2511957009/
Apartamento para venda tem 105 metros quadrados com 3 quartos em Portão - Curitiba - Paraná;Rua Engenheiro Niepce da Silva, 144;[];[3];[1];[3];[2];-;-;https://www.vivareal.com.br//imovel/apartamento-3-quartos-portao-bairros-curitiba-com-garagem-105m2-venda-RS917000-id-2542751984/
AP Versátil Mobiliado no centro com Vista Lindíssima!;Rua Professor Fernando Moreira, 124;['57'];[1];[];[1];[];-;-;https://www.vivareal.com.br//imovel/apartamento-1-quartos-centro-bairros-curitiba-45m2-venda-RS230000-id-2545182675/
Apartamento para venda com 102 metros quadrados com 3 quartos em Água Verde - Curitiba - Paraná;Avenida Iguaçu, 2960;[];[3];[1];[3];[2];-;-;https://www.vivareal.com.br//imovel/apartamento-3-quartos-agua-verde-bairros-curitiba-com-garagem-102m2-venda-RS650000-id-2477728884/
Apt para venda no Cond. Botânica: 113 m² com 3 quartos. Cristo Rei - Curitiba;Rua Coronel Pedro Scherer Sobrinho, 152;[];[3];[1];[4];[2];-;-;https://www.vivareal.com.br//imovel/apartamento-3-quartos-cristo-rei-bairros-curitiba-com-garagem-113m2-venda-RS1280000-id-2535740776/
Apartamento para venda tem 89 metros quadrados com 3 quartos em Vila Izabel - Curitiba - Paraná;Rua Guararapes, 2104;['138'];[3];[1];[3];[1];-;-;https://www.vivareal.com.br//imovel/apartamento-3-quartos-vila-izabel-bairros-curitiba-com-garagem-89m2-venda-RS360000-id-2516118616/
Apartamento para venda possui 216 metros quadrados com 4 quartos em Rebouças - Curitiba - Paraná;Rua Lamenha Lins, 601;['240'];[4];[1];[4];[1];-;-;https://www.vivareal.com.br//imovel/apartamento-4-quartos-reboucas-bairros-curitiba-com-garagem-216m2-venda-RS680000-id-2547201954/
Apartamento para venda tem 87 metros quadrados com 1 quarto em Bacacheri - Curitiba - Paraná;Avenida Nossa Senhora da Luz, 170;['130'];[1];[1];[2];[1];-;-;https://www.vivareal.com.br//imovel/apartamento-1-quartos-bacacheri-bairros-curitiba-com-garagem-87m2-venda-RS609000-id-2537026046/
Apartamento para venda com 78 metros quadrados com 2 quartos em Vila Izabel - Curitiba - Paraná;Rua Guaianazes, 882;[];[2];[1];[2];[2];-;-;https://www.vivareal.com.br//imovel/apartamento-2-quartos-vila-izabel-bairros-curitiba-com-garagem-78m2-venda-RS580000-id-2501527340/
Excelente Apartamento face leste Totalmente Reformado com 76m2.;Avenida São José, 500;['95'];[3];[];[2];[1];-;-;https://www.vivareal.com.br//imovel/apartamento-3-quartos-cristo-rei-bairros-curitiba-com-garagem-76m2-venda-RS345000-id-2546840977/
Apartamento para venda possui 144 metros quadrados com 3 quartos em Juvevê - Curitiba - Paraná;Rua Rocha Pombo, 904;[];[3];[1];[3];[2];-;-;https://www.vivareal.com.br//imovel/apartamento-3-quartos-juveve-bairros-curitiba-com-garagem-144m2-venda-RS1390000-id-2543334343/
Apartamento para venda com 77 metros quadrados com 3 quartos em Portão - Curitiba - Paraná;Rua Engenheiro Arthur Bettes, 75;['127'];[3];[1];[2];[1];-;-;https://www.vivareal.com.br//imovel/apartamento-3-quartos-portao-bairros-curitiba-com-garagem-77m2-venda-RS420000-id-2546374276/
Direto com o proprietário,Excelente localização, pronto para. morar;Rua Carneiro Lobo, 614;['201'];[4];[1];[3];[2];-;-;https://www.vivareal.com.br//imovel/apartamento-4-quartos-batel-bairros-curitiba-com-garagem-150m2-venda-RS1150000-id-2536043485/
Apartamento para venda possui 65 metros quadrados com 2 quartos em Bacacheri - Curitiba - Paraná;Rua Doutor Alarico Vieira de Alencar, 307;['95'];[2];[1];[2];[1];-;-;https://www.vivareal.com.br//imovel/apartamento-2-quartos-bacacheri-bairros-curitiba-com-garagem-65m2-venda-RS425000-id-2540611673/
Apartamento impecável super mobiliado ou semi-mobiliado 36m2 1 quarto centro;Avenida Marechal Floriano Peixoto, 696;['60'];[1];[1];[1];[1];-;-;https://www.vivareal.com.br//imovel/apartamento-1-quartos-centro-bairros-curitiba-com-garagem-36m2-venda-RS298000-id-2482572829/
